smiles,pKa
[O-]c1ccnc([S-])[nH+]1,7.75
NCc1ccccc1,9.36
NCC1CCCCC1,10.52
Cc1cccc(N)c1,4.7
Cc1ccc(N)cc1,5.04
CC1CCCCC1=N,9.38
Cc1ccccc1N,4.45
C[C@@H]1CCCC[C@@H]1N,10.6
C[C@H]1CCCC[C@@H]1N,10.62
C1CCCNCCC1,10.78
Cc1cncc(C)c1,6.15
Cc1ccncc1C,6.53
C=Cc1ccncc1,5.62
CCc1ccncc1,5.94
C=Cc1ccccn1,4.92
CCc1ccccn1,5.98
Cc1cccnc1C,6.57
Cc1ccc(C)nc1,6.4
Cc1c[nH]c(C)c1C,3.94
Cc1cccc(C)n1,6.85
C[C@@H]1CCC[C@H](C)N1,10.99
CN=C1CCCCC1,9.43
CNc1ccccc1,4.8
CCN1CCCCC1,10.68
CC1=CN(C)CC1C,9.6
CN1CCCCCC1,10.96
CCN1CCC=C1C,11.88
CCN1CCCC1C,10.6
CC(C)N1CCCC1,11.22
CC1=CCCCN1C,11.42
CC1CCCCN1C,10.26
C=Cc1cccnc1,4.87
CCc1cccnc1,5.57
Cc1ccnc(C)c1,6.77
CCC1CCCN1C,9.78
Clc1cncc(Cl)c1,0.55
S=C(S)N1CCCC1,2.97
Nc1ccccc1Cl,2.64
Nc1ccccc1F,2.96
Nc1ccccc1Br,2.4
Cn1ccc(=S)cc1,1.36
Nc1cccc(Cl)c1,3.59
Nc1cccc(F)c1,3.41
Nc1cccc(I)c1,3.59
Nc1cccc(Br)c1,3.41
CSc1cccnc1,4.45
CSc1ccccn1,3.62
CSc1ccncc1,5.97
Nc1ccc(Cl)cc1,3.96
Nc1ccc(F)cc1,4.64
Nc1ccc(I)cc1,3.79
Nc1ccc(Br)cc1,3.79
C[n+]1cccc(S)c1,2.27
C[n+]1ccccc1S,-1.42
O=C(O)c1ccc[nH]1,-0.65
O=C(O)c1ccc[nH]1,4.35
O=C1CCCC(=O)N1,11.43
O=C(O)c1cc[nH]c1,4.98
O/N=C\c1ccco1,10.82
O/N=C/c1ccco1,10.85
[O-][n+]1cccc(O)c1,6.4
[O-]c1ccnc([O-])c1,13.0
[O-]c1cc[nH+]cc1O,9.6
[O-][n+]1ccc(O)cc1,5.76
[O-]c1cccc[n+]1O,5.98
[O-]c1cc(O)cc[nH+]1,6.5
O=C(O)C1CCC[NH2+]1,1.99
O=C(O)[C@@H]1CCC[NH2+]1,1.94
O=C([O-])C1CCCN1,10.61
O=C([O-])[C@@H]1CCCN1,10.56
Oc1cc[nH+]c(O)c1,1.37
Oc1cc[nH+]cc1O,3.6
O=C([O-])C1CCNC1,10.72
O=C(O)C1CC[NH2+]C1,3.38
Oc1cccc[n+]1O,-0.71
O=[N+](O)C1=CC=CC1,3.25
Oc1cc[n+](O)cc1,2.4
O=C1CC(S)C(=O)N1,6.65
O=C(O)c1cncs1,2.99
O=C(O)c1cscn1,2.9
O=C(O)c1cscn1,3.64
O=C(O)c1nccs1,2.57
O=C(O)[C@@H]1CSC[NH2+]1,1.58
O=C([O-])C1CSCN1,6.23
O=C([O-])[C@@H]1CSCN1,6.14
Nc1ccccc1O,9.71
Nc1ccccc1O,4.55
N[C@H]1CCCC[C@@H]1O,9.35
N[C@@H]1CCCC[C@@H]1O,9.72
Nc1cccc(O)c1,9.85
Nc1cccc(O)c1,4.29
N[C@H]1CCC[C@H](O)C1,10.1
N[C@@H]1CCC[C@H](O)C1,10.05
Cn1ccc(=O)cc1,3.33
ONc1ccccc1,10.68
ONc1ccccc1,-0.32
Cc1noc(C)c1C,-1.0
O=Cc1cccnc1,3.73
OCc1cccnc1,5.0
CCN1CCOCC1,7.72
COc1cccnc1,4.89
O=Cc1ccccn1,3.86
OCc1ccccn1,4.66
COc1ccccn1,3.34
O=Cc1ccncc1,4.63
OCc1ccncc1,5.41
Nc1ccc(O)cc1,10.06
Nc1ccc(O)cc1,5.54
COc1ccncc1,6.65
C[n+]1cccc(O)c1,4.96
C[n+]1ccccc1O,0.32
Cc1ccc[n+](O)c1,1.08
Cc1cc[n+](O)cc1,1.29
C=C[C@@H]1CNC(=S)O1,10.25
[O-]c1cccc(Cl)n1,7.76
[O-]c1ccncc1Br,9.4
O=C1CCC(=O)N1O,6.04
O=C(O)c1cnoc1,3.39
CCNc1nnn[nH]1,6.12
CN(C)c1nnn[nH]1,5.92
Cn1n[n+](C)nc1N,2.5
CC([NH3+])c1nnn[nH]1,2.63
CC(N)c1nnn[n-]1,8.77
[NH3+]CCc1nnn[nH]1,3.99
CCCn1cncn1,2.36
Cc1ncncc1N,3.15
NCCc1c[nH]cn1,9.87
Nc1ccncc1N,9.06
CNc1ncccn1,3.82
Cc1ccnc(N)n1,4.2
Cn1cccnc1=N,10.75
Nc1cccnc1N,6.84
CNc1ccncn1,6.12
Cc1cc(N)ncn1,6.25
NCCc1cnc[nH]1,9.4
[NH3+]CCc1c[nH]cn1,6.08
[NH3+]CCc1cnc[nH]1,6.28
Nc1cc[nH+]c([S-])n1,3.32
Nc1ccnc([S-])n1,10.63
Cc1nnc(C)n1O,6.5
Nc1cc[nH+]c([O-])n1,4.61
Nc1nccc([O-])n1,9.42
Nc1nc(O)cc[nH+]1,4.01
Cn1cc([O-])nc1N,13.4
Cn1cc(O)[nH+]c1N,4.9
Nc1ccnc([O-])n1,12.25
O/N=C/c1cnns1,7.64
C1CN2CCCN2C1,7.95
C1CN2CCN1CC2,8.75
C1C[NH+]2CCN1CC2,3.07
NC12CCC(CC1)C2,10.19
C1=CN2CCC1CC2,9.82
C1CN2CCC1CC2,11.04
C[C@H]1C[C@@H]2CCN1C2,10.62
C1CC2CCCN2C1,11.74
C/C=C\C=C/C(=O)O,4.51
C/C=C/C=C/C(=O)O,4.53
CCC/C=C/C(=O)O,4.71
CC#C/C=C/C(=O)O,4.2
CC/C=C/CC(=O)O,4.52
C/C=C/CCC(=O)O,4.72
CCCCCC(=O)O,4.85
C#CCCCC(=O)O,4.6
C=CC#CCC(=O)O,3.41
C/C=C/C#CC(=O)O,2.67
CC#CC#CC(=O)O,1.94
CC(C)/C=C/C(=O)O,4.7
CC(C)=CCC(=O)O,4.6
CC(C)CCC(=O)O,4.84
CC/C(C)=C\C(=O)O,5.15
CC/C(C)=C/C(=O)O,5.14
CCC(C)CC(=O)O,4.84
CC(C)(C)CC(=O)O,5.01
CCC(CC)C(=O)O,4.73
CCC(C)(C)C(=O)O,5.03
CCC(=O)CC(C)=O,9.36
CC(=O)C(C)C(C)=O,10.79
CC(C)C(=O)CC=O,6.68
CC(C)C(Br)C(=O)O,2.82
CCSC(C)C(=O)O,3.8
CC(C)SCC(=O)O,3.72
C[Si](C)(C)CC(=O)O,5.22
CCCSCC(=O)O,3.77
COCCSC(C)O,14.21
C=C(C)/C(C)=C(\C)O,12.01
CC[As](=O)(CC)CC,3.71
COC(=O)/C=C(/C)O,9.48
COC(=O)CC(C)=O,10.6
CC(=O)CCC(=O)O,4.63
CO/C(C)=C\C(=O)O,5.81
O=CCCCC(=O)O,5.02
CCCC[As](=O)(O)O,3.01
NC(=N\O)/C(N)=N/O,11.34
NC(=N\O)/C(N)=N/O,2.97
CC(C)NCCC#N,8.0
CNCC(C)CNC,10.55
CCNN(CC)CC,7.08
CCN(CC)N(C)C,6.88
CCN(C)N(C)CC,6.8
CCCN(N)CCC,7.0
CC(C)(N)C(C)(C)N,10.13
CCCCNCCN,10.3
CCNCCNCC,10.46
CN(C)CCN(C)C,9.15
CCN(CC)CC#N,4.18
NCCCCCCN,10.97
CCN(CC)CCN,9.93
CNCC(C)C[NH2+]C,8.29
CC(C)(N)C(C)(C)[NH3+],6.56
CCCC[NH2+]CCN,7.53
CCNCC[NH2+]CC,7.7
CN(C)CC[NH+](C)C,6.04
NCCCCCC[NH3+],10.16
CC[NH+](CC)CCN,6.76
CC([N+](=O)[O-])[N+](=O)[O-],5.28
CC(=N\O)/C(C)=N/O,10.6
CCCCN[N+](=O)[O-],6.48
CC(C)CN[N+](=O)[O-],6.38
CC(=N\[O-])/C(C)=N/O,11.9
CC(Br)(CN)[N+](=O)[O-],6.15
NCCNCCCO,9.67
CC(O)CNCCN,9.86
CC(C)C(N)C(N)=O,8.0
CNCC(=O)N(C)C,8.86
CN(C)C(=O)N(C)C,1.04
CC(O)=C(C#N)C#N,1.0
CC(C)(C)/C(N)=N/O,5.8
NCCCNCCO,10.28
NCC[NH2+]CCCO,6.78
CC(O)CNCC[NH3+],6.94
C/C(O)=N\[N+](C)(C)C,5.42
C/C(CN(C)C)=N\[O-],10.9
NCCC[NH2+]CCO,8.19
O=C(/C=N/O)/C=N/O,7.65
C/C(=N\O)C(=O)NO,7.74
C/C(=N\O)C(=O)[N-]O,11.0
CS(=O)(=O)NC(N)=O,5.1
NC(=O)CS(N)(=O)=O,9.7
CCCCCCCN,10.34
C#CCCCCCN,10.64
CC(C)C(N)C(C)C,10.4
CCCCCC(C)N,11.15
CCCCC[C@H](C)N,10.8
CCC(N)(CC)CC,10.87
CCC(C)NC(C)C,11.0
CC(C)CNC(C)C,10.55
C#CCCCN(C)C,8.88
CN(C)CC(C)(C)C,9.75
CN(C)CC(Cl)CCl,7.5
CCN(CC)C(=S)S,3.95
CCCCSCCN,8.37
CCNC[Si](C)(C)C,11.11
CCN(CC)CCBr,7.0
CC(C)CSCCN,8.73
C[Si](C)(C)CCCN,10.75
NCCCCCCBr,10.6
CCN(CC)CC[S-],11.01
CC[NH+](CC)CCS,7.72
O=[N+]([O-])C(CO)CO,9.07
[O-][N+]([O-])=C(CO)CO,13.5
CCCNCC(=O)O,10.03
CC(C)C(N)C(=O)O,9.58
CC/C(=N/O)C(C)=O,9.38
CC(O)CNCCO,8.81
CC(C)(C)C(=O)NO,9.59
CCOC(=O)C(C)N,7.8
CCOC(=O)[C@H](C)N,7.8
CCC(N)(CO)CO,8.8
CN(CCO)CCO,8.51
CCOC(=O)CCN,9.13
CC(C#N)CC(=O)O,3.95
CCCC/C=[N+](\[O-])O,4.5
CCC[NH2+]CC(=O)O,2.31
CC(C)[NH2+]CC(=O)O,2.35
CC[NH2+]C(C)C(=O)O,2.22
C[NH2+]C(C)(C)C(=O)O,2.2
CC(C)C([NH3+])C(=O)O,2.41
CC(C)[C@H]([NH3+])C(=O)O,2.32
CCCNCC(=O)[O-],10.19
CC(C)NCC(=O)[O-],10.06
CCNC(C)C(=O)[O-],10.22
CNC(C)(C)C(=O)[O-],10.75
CCC(C)(N)C(=O)[O-],9.98
CCCC(N)C(=O)[O-],9.86
CC(C)[C@H](N)C(=O)[O-],9.66
CNCCCC(=O)[O-],10.78
C[C@H](N)CCC(=O)[O-],10.43
C[NH2+]CCCC(=O)O,4.03
C[C@H]([NH3+])CCC(=O)O,4.13
CCNCCC(=O)[O-],10.6
CN(C)CCC(=O)[O-],9.85
CC[NH2+]CCC(=O)O,3.61
NCC/C=C/C(=O)[O-],9.95
NCCCCC(=O)[O-],10.78
[NH3+]CC/C=C/C(=O)O,3.83
[NH3+]CCCCC(=O)O,4.26
NS(=O)(=O)C(F)(F)F,6.33
NS(=O)(=O)C(F)(F)Cl,6.5
NS(=O)(=O)C(F)(F)I,6.79
NS(=O)(=O)C(F)(F)Br,6.53
CCN(CC)C(C)O,10.2
CC(CO)CN(C)C,9.75
CC(=O)CCN(C)C,8.95
COCCCN(C)C,9.36
CC(C)(C)NCCO,10.11
CCN(CC)CCO,9.84
CN(C)C(C)(C)C=O,8.4
CCCC(=N)OCC,7.08
NCCCCCCO,10.62
CC[N+](O)(CC)CC,5.13
COCCNC(=S)S,2.85
CNC(=S)OC(C)C,11.56
CCCCNC(O)=S,0.67
CC(C)CNC(O)=S,0.38
CN(CCO)CCCl,7.5
CC(=O)NOC(C)=O,6.81
C/C(=N\O)C(=O)CO,9.16
CC(=O)C(C)[N+](=O)[O-],5.15
CN(C)C(=N)N(C)C,13.6
CNCCNCCN,10.24
C/N=C(/NC)N(C)C,13.9
C[NH2+]CCNCC[NH3+],4.64
C[NH2+]CCNCCN,9.57
N#C/C(=N\O)C(N)=O,5.12
CNCC/C(N)=N/O,9.6
CC(N)C/C(N)=N/O,9.15
CC(CN)/C(N)=N/O,9.15
C[NH2+]CC/C(N)=N/O,3.6
CC([NH3+])C/C(N)=N/O,3.75
CC(C[NH3+])/C(N)=N/O,3.65
CC(=O)C1C(=O)OC(=O)C=C1C,1.34
O=C(O)[C@@H]1CC[C@@H](C(=O)O)[Se][Se]1,2.85
O=C([O-])[C@@H]1CC[C@@H](C(=O)O)[Se][Se]1,3.67
CC(C)c1cccc(=O)c(O)c1,7.22
O=C(O)C=C=Cc1ccccc1,3.7
O=C(O)CCCc1ccccc1,4.78
O=C(O)CCCC1CCCCC1,4.95
O=C(O)CC#Cc1ccccc1,3.44
Cc1cccc(/C=C/C(=O)O)c1,4.44
Cc1ccc(/C=C/C(=O)O)cc1,4.56
Cc1ccc(CCC(=O)O)cc1,4.74
Cc1ccccc1/C=C/C(=O)O,4.5
CC(C)c1ccc(C(=O)O)cc1,4.31
CC(C)c1ccccc1C(=O)O,3.64
CC1CCC[C@H](C(C)C(=O)O)C1,4.59
CC(C)c1cccc(C(=O)O)c1,4.27
CC(=O)c1cc(C)c(C)cc1O,11.56
CC(=O)CC(=O)c1ccccc1,8.69
C=CCc1ccc(O)c(OC)c1,10.0
Cc1c(C)c(O)c(C)c(C)c1O,11.3
CCCCOc1ccc(O)cc1,10.23
Cc1c(C)c(O)c(C)c(C)c1[O-],12.79
O=C(O)CSc1ccc(S)cc1,3.77
O=C(O)CCCCC1CCSS1,4.82
Cc1cccc(SCC(=O)O)c1,3.52
Cc1ccc(SCC(=O)O)cc1,3.57
Cc1cccc([Se]CC(=O)O)c1,3.78
Cc1ccc([Se]CC(=O)O)cc1,3.86
O=C(O)/C(I)=C/c1ccccc1,3.3
O=C(O)/C(I)=C\c1ccccc1,2.24
O=C(O)CCc1ccc(Cl)cc1,4.65
O=C(O)/C=C\c1cccc(Cl)c1,3.71
O=S(O)CCCc1ccccc1,2.05
O=C(O)/C=C\SC1CCCCC1,4.95
O=C(O)/C=C/SC1CCCCC1,4.7
O=C(O)C#CSc1ccccc1,2.11
Cc1ccccc1SCC(=O)O,3.46
Cc1ccccc1[Se]CC(=O)O,3.79
O=C(O)/C=C(\I)c1ccccc1,3.4
O=C(O)CSCc1ccccc1,3.73
C=C(SC1CCCCC1)C(=O)O,3.4
O=C1C[C@H](C(=O)O)[C@@H](C(=O)O)O1,2.26
O=C1C[C@@H](C(=O)O)[C@@H](C(=O)O)O1,2.26
O=C1O[C@@H]([C@@H](O)CO)C(O)=C1O,4.16
O=C1O[C@@H]([C@H](O)CO)C(O)=C1O,4.13
O=C1C[C@H](C(=O)O)[C@@H](C(=O)[O-])O1,3.82
O=C1C[C@@H](C(=O)O)[C@@H](C(=O)[O-])O1,4.5
O=C1O[C@@H]([C@@H](O)CO)C([O-])=C1O,11.33
O=C1O[C@@H]([C@H](O)CO)C([O-])=C1O,11.61
CC(C)(C)Cc1ccc(O)cc1,10.71
Cc1cc(O)c(C(C)C)cc1C,10.79
CCc1cc(C(C)C)ccc1O,10.77
Cc1cc(C)c(C(C)C)cc1O,10.76
CC(C)(C)Cc1ccccc1O,10.69
CCc1ccc(C(C)C)cc1O,10.61
CCc1ccc(O)c(C(C)C)c1,10.82
Cc1cc(C)c(O)c(C(C)C)c1,11.18
Cc1cc(C(C)C)cc(C)c1O,10.9
CC(=O)c1c(C)cc(C)cc1C,17.61
CC(=O)c1c(C)cc(C)cc1C,10.69
CCCc1cc(Cl)cc(Cl)c1O,8.1
CCSC(=O)c1ccc(Cl)cc1,-5.02
CCSC(=O)c1cccc(Br)c1,-5.53
Cc1cc(O)c(C(C)C)cc1Cl,9.98
CCSC(=O)c1cccc(C)c1,-4.77
CCSC(=O)c1ccc(C)cc1,-4.2
C[S+](C)CC(=O)c1ccccc1,8.6
COc1cc(C(C)=O)ccc1O,7.65
CC(=O)c1cccc(=O)c(O)c1,6.16
CC(=O)c1ccc(O)c(=O)cc1,5.01
CC1C(=O)OC(C(C)(C)C)C1=O,4.84
O=C(O)/C=C/c1ccccc1O,4.56
COc1cc(C(=O)O)ccc1C,4.13
CCOc1cccc(C(=O)O)c1,4.17
O=C(O)C(CO)c1ccccc1,4.23
Cc1cccc(OCC(=O)O)c1,3.18
Cc1ccc(OCC(=O)O)cc1,3.15
Cc1ccccc1OCC(=O)O,3.17
CC(O)(C(=O)O)c1ccccc1,3.53
O=C(O)C(=O)Cc1ccccc1,2.68
Cc1ccc(C(=O)C(=O)O)cc1,1.52
CCOC(=O)c1cccc(O)c1,9.05
O=C(O)/C=C/c1cccc(O)c1,4.4
COc1ccc(CC(=O)O)cc1,4.36
CC(=O)c1cccc(C(=O)O)c1,3.84
COc1ccc(C(=O)O)cc1C,4.35
COCc1ccc(C(=O)O)cc1,4.18
CC(=O)c1ccc(C(=O)O)cc1,3.72
COc1ccc(C)c(C(=O)O)c1,3.84
COc1ccc(C(=O)O)c(C)c1,4.54
COCc1ccccc1C(=O)O,3.85
CC(=O)[C@@H]1C[C@H](C(=O)O)C1(C)C,4.63
COc1c(C)cccc1C(=O)O,3.84
CCOc1ccccc1C(=O)O,4.18
COc1cccc(C)c1C(=O)O,3.46
COc1cc(C)ccc1C(=O)O,4.38
CCOc1ccc(C(=O)O)cc1,4.64
CC(=O)c1ccccc1C(=O)O,4.15
CC(=O)[C@H]1CC=CC[C@@H]1C(=O)O,4.4
COc1cccc(C(=O)O)c1C,3.72
O=C(O)C#COc1ccccc1,3.09
O=C(O)CC(O)c1ccccc1,4.4
CCOC(=O)c1ccc(O)cc1,9.34
O=C(O)/C=C\c1ccc(O)cc1,4.08
O=C(O)/C=C/c1ccc(O)cc1,4.64
O=C(O)CC[C@H]1CC[C@H](O)CC1,4.86
Cc1cc(CO)c(O)c(CO)c1,9.92
CC(O)c1cccc(O)c1CO,9.9
Cc1cc(C=O)c(O)c(C=O)c1,6.2
CCOC(=O)C1CCCCC1=O,11.9
CC1(C)CC(=O)C(C=O)C(=O)C1,3.65
O=C([O-])/C=C\c1ccccc1O,10.66
O=C([O-])/C=C/c1ccccc1O,9.63
CC(=O)c1ccc(CC(=O)O)s1,3.8
N=C(N)Nc1nc(N)nc(N)n1,9.4
NCC(=O)NCCc1c[nH]cn1,8.04
COc1cc(N)c(C#N)c(N)n1,4.17
[NH3+]CC(=O)NCCc1c[nH]cn1,6.76
NC(=O)Nc1[nH]c[nH+]c1C(=O)O,2.0
NC(=O)Nc1[nH]cnc1C(=O)[O-],12.2
NC(=O)Nc1[nH]cnc1C(=O)[O-],4.9
CN(C)c1ccc(N(C)C)cc1,6.37
NCCNCCc1ccccc1,9.44
Cc1cccc(/N=C/N(C)C)c1,9.11
Cc1ccccc1/N=C/N(C)C,8.27
Cc1ccc(/N=C/N(C)C)cc1,9.21
NCCCCCc1ccncc1,10.3
NCCCCCc1cccnc1,10.34
NCCCCCc1ccccn1,10.38
Cc1ccc(CNCCN)cc1,9.41
CN(C)c1ccc([NH+](C)C)cc1,2.5
NCC[NH2+]CCc1ccccc1,6.59
[NH3+]CCCCCc1ccncc1,5.99
[NH3+]CCCCCc1cccnc1,5.61
[NH3+]CCCCCc1ccccn1,5.7
Cc1ccc(CNCC[NH3+])cc1,6.51
CN(C)/C=N/c1ccccc1Cl,6.85
CN(C)/C=N/c1ccccc1Br,6.71
CN(C)c1cccc(NC=S)c1,11.78
NC(=S)C(N)Cc1ccccc1,7.15
CN(C)c1ccc(NC=S)cc1,11.96
CN(C)/C=N/c1cccc(Cl)c1,7.97
CN(C)/C=N/c1cccc(Br)c1,8.08
CN(C)c1ccc(SC#N)cc1,3.3
CN(C)/C=N/c1ccc(Cl)cc1,8.46
CN(C)/C=N/c1ccc(Br)cc1,8.1
NC(=S)C([NH3+])Cc1ccccc1,-8.63
Cn1cnc(C(=O)O)c1C(=O)O,-0.56
O=C(O)C[C@@H]1NC(=O)CNC1=O,3.93
NC(=O)[C@H]1CC(=O)N[C@@H]1C(=O)O,3.0
Cc1[nH]c(C(=O)[O-])c(C(=O)O)[nH+]1,4.54
Cn1cnc(C(=O)[O-])c1C(=O)[O-],8.0
Cn1cnc(C(=O)[O-])c1C(=O)O,3.9
Cn1c[nH+]c(C(=O)O)c1C(=O)O,-0.88
COC(=O)CCCc1c[nH]cn1,7.33
CCC(=O)c1cc(C(C)=O)n[nH]1,9.05
NC(=O)/C(=N\O)c1ccccc1,10.1
NC(=O)/C(=N/O)c1ccccc1,9.55
NC(=O)/C=C(\O)c1cccnc1,8.01
NC(=O)CC(=O)c1cccnc1,8.61
NC(=O)/C=C(\O)c1ccncc1,7.36
NC(=O)CC(=O)c1ccncc1,7.91
NC(=O)/C=C(\O)c1ccccn1,8.23
